涉及对象,处理事由,证券代码,证券简称,处理日期,监管类型
"上市公司,董事,独立董事,监事,董秘,实际控制人",关于对广西慧球科技股份有限公司及有关责任人予以公开谴责并公开认定有关责任人不适合担任上市公司董事、监事和高级管理人员的决定,600556,ST慧球,2017-06-02,通报批评
"上市公司,董事,独立董事,监事,董秘,实际控制人",关于对广西慧球科技股份有限公司及有关责任人予以公开谴责并公开认定有关责任人不适合担任上市公司董事、监事和高级管理人员的决定,600556,ST慧球,2017-06-02,公开认定
"上市公司,董事,独立董事,监事,董秘,实际控制人",关于对广西慧球科技股份有限公司及有关责任人予以公开谴责并公开认定有关责任人不适合担任上市公司董事、监事和高级管理人员的决定,600556,ST慧球,2017-06-02,公开谴责
"上市公司,其他",督促公司及收购人核实相关投诉事项并补充披露,600228,*ST昌九,2017-06-01,监管工作函
上市公司,公司每股收益较高，但连续多年未进行利润分配。向公司发出监管工作函，明确现金分红的相关要求。,600167,联美控股,2017-05-26,监管工作函
上市公司,关于公司重大资产重组停复牌及信息披露相关事项。,600277,亿利洁能,2017-05-25,监管工作函
上市公司,督促公司控股股东尽快完成公司董事会、监事会换届事宜。,600436,片仔癀,2017-05-24,监管工作函
"上市公司,高级管理人员",关于对中国民生银行股份有限公司和董事会秘书予以监管关注的决定,600016,民生银行,2017-05-22,监管关注
"上市公司,一般股东,控股股东及实际控制人",督促信息披露。,600537,亿晶光电,2017-05-19,监管工作函
上市公司,爱建集团举牌相关信息披露事项,600643,爱建集团,2017-05-18,监管工作函
"上市公司,控股股东及实际控制人,中介机构及其相关人员",核实股东承诺及中介机构持续督导责任履行情况,600828,茂业商业,2017-05-18,监管工作函
上市公司,对媒体报道事项提出监管要求,601328,交通银行,2017-05-17,监管工作函
控股股东及实际控制人,上海市国资委将其持有的公司间接控股股东上海水产集团有限公司100%股权划转至光明食品（集团）有限公司，由于上海水产集团有限公司间接持有开创国际股权超过30%，此次权益变动涉及要约收购，要求光明食品（集团）有限公司按时披露要约收购报告书摘要。,600097,开创国际,2017-05-15,监管工作函
"上市公司,控股股东及实际控制人",就上市公司存在的大股东非经营性资金占用事宜，要求公司尽快整改,600967,内蒙一机,2017-05-15,监管工作函
上市公司,利润分配方案须以经审计的财务报告为基础，要求公司规范。,603960,克来机电,2017-05-11,监管工作函
