证券代码,证券简称,监管类型,处理事由,涉及对象,处理日期
,,,,,
603960,克来机电,监管工作函,利润分配方案须以经审计的财务报告为基础，要求公司规范。,上市公司,2017/5/11
,,,,,
600764,中电广通,监管工作函,近日，公司董事会决议通过变更公司名称议案，称鉴于公司本次重大资产重组议案已经股东大会审议通过，公司名称拟由“中电广通股份有限公司”变更为“中国船舶重工集团海洋防务与信息对抗股份有限公司”。,上市公司,2017/5/10
,,,,,
600198,大唐电信,监管工作函,2017年5月2日晚间，网易、腾讯等市场主流媒体集中发布了有关公司与高通合作方面的报道，并被相关媒体广泛转载和解读。,上市公司,2017/5/4
,,,,,
600828,茂业商业,监管工作函,督促公司履行信息披露义务,"上市公司,董事,高级管理人员,控股股东及实际控制人",2017/5/2
,,,,,
600887,伊利股份,监管工作函,要求公司核实商务部公开的收购中国圣牧股权案审查信息与公司前期公告内容是否一致,上市公司,2017/5/2
,,,,,
601005,*ST重钢,监管工作函,对公司终止重组并进行重整事项明确监管要求,上市公司,2017/5/2
,,,,,
600139,西部资源,监管工作函,公司接到控股股东四川恒康正在筹划重大事项，涉及公司股权转让事宜。对此，我部向公司发出监管工作函。,上市公司,2017/4/28
,,,,,
600485,信威集团,监管工作函,明确对公司年报披露的监管要求,"上市公司,董事,监事,高级管理人员,中介机构及其相关人员",2017/4/28
,,,,,
600747,大连控股,监管工作函,明确年报披露相关要求。,"上市公司,董事,监事,高级管理人员,中介机构及其相关人员",2017/4/28
,,,,,
600828,茂业商业,监管工作函,督促公司明确股东业绩承诺补偿相关事项,"上市公司,控股股东及实际控制人",2017/4/28
,,,,,
600579,天华院,监管工作函,要求公司核查报告期内发生的非经营性资金占用情况并进行整改,"上市公司,董事",2017/4/27
,,,,,
600759,洲际油气,监管工作函,公司将于今日召开媒体说明会，按照本所上市规则，拟对公司发出监管工作函，明确媒体说明相关信息披露监管要求。,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2017/4/27
,,,,,
603800,道森股份,监管工作函,要求公司核查报告期内发生的非经营性资金占用情况并进行整改,"上市公司,董事",2017/4/27
,,,,,
600385,山东金泰,监管工作函,核实股东增减持事项,一般股东,2017/4/26
,,,,,
600309,万华化学,监管工作函,关于公司及控股股东有关承诺履行事项,控股股东及实际控制人,2017/4/24
,,,,,
601117,中国化学,监管工作函,关于公司信息披露事项的监管工作函,上市公司,2017/4/24
,,,,,
600010,包钢股份,监管工作函,对公司聘任董事会秘书相关事项明确监管要求,上市公司,2017/4/21
,,,,,
600074,保千里,监管工作函,督促公司合理安排利润分配方案,上市公司,2017/4/20
,,,,,
600267,海正药业,监管工作函,"业绩预告变脸,重大合同信息披露不及时,不完整。",上市公司,2017/4/20
,,,,,
600691,阳煤化工,通报批评,关于对阳煤化工股份有限公司股东拉萨香凤股权管理有限公司予以通报批评的决定,一般股东,2017/4/18
,,,,,
601636,旗滨集团,公开谴责,关于对株洲旗滨集团股份有限公司独立董事周金明予以公开谴责的决定,董事,2017/4/18
,,,,,
600614,鼎立股份,通报批评,关于对鹏起科技发展股份有限公司及有关责任人予以通报批评的决定,"上市公司,董事,高级管理人员",2017/4/17
,,,,,
600810,神马股份,公开谴责,关于对神马实业股份有限公司及有关责任人予以纪律处分的决定,"上市公司,董事,高级管理人员",2017/4/17
,,,,,
601801,皖新传媒,监管工作函,就公司筹划重大对外投资停复牌相关事项发监管工作函。,上市公司,2017/4/17
,,,,,
600050,中国联通,监管工作函,明确公司混改事项相关信息披露要求。,上市公司,2017/4/12
,,,,,
600747,大连控股,监管工作函,关于大连大福控股股份有限公司的监管工作函,上市公司,2017/4/12
,,,,,
603999,读者传媒,监管工作函,要求公司按照临时公告格式指引要求，履行高送转方案的审议程序，并做好披露工作。,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2017/4/12
,,,,,
600143,金发科技,监管工作函,关于公司重大资产重组停复牌相关事项的监管工作函,上市公司,2017/4/11
,,,,,
600469,风神股份,监管工作函,关于公司重大资产重组停复牌及信息披露相关事项,上市公司,2017/4/11
,,,,,
603108,润达医疗,监管工作函,关于公司重大资产重组停复牌及信息披露相关事项,上市公司,2017/4/11
,,,,,
600744,华银电力,监管工作函,对公司控股股东改革事项明确监管要求,上市公司,2017/4/10
,,,,,
600753,东方银星,监管工作函,要求公司及其股东加强规范运作，维护投资者利益,"上市公司,一般股东",2017/4/7
,,,,,
601991,大唐发电,监管工作函,对控股股东改革事项明确监管要求,控股股东及实际控制人,2017/4/7
,,,,,
600050,中国联通,监管工作函,公司控股股东联通集团正在筹划混改事项，发函明确监管要求。,"上市公司,董事,监事,高级管理人员,控股股东及实际控制人",2017/4/6
,,,,,
601901,方正证券,监管工作函,公司接到香港投资者投诉，称公司限制了香港股东对董事提名的投票权。,上市公司,2017/4/6
,,,,,
600750,江中药业,监管工作函,督促公司对非经营性资金占用事项及时整改,"上市公司,董事",2017/4/5
,,,,,
601992,金隅股份,监管工作函,关于相关媒体报道的监管工作要求。,上市公司,2017/4/4
,,,,,
600747,大连控股,监管工作函,关于大连大福控股股份有限公司重大资产重组停复牌事项的监管工作函,"上市公司,控股股东及实际控制人,其他",2017/3/31
,,,,,
603177,德创环保,监管工作函,关于媒体报道内容需要进一步核实,上市公司,2017/3/31
,,,,,
600876,洛阳玻璃,监管工作函,关于对洛阳玻璃股份有限公司年报中有关非经营性资金占用的监管工作函,"上市公司,控股股东及实际控制人",2017/3/30
,,,,,
600747,大连控股,监管工作函,关于大连大福控股股份有限公司重大资产重组停复牌事项的监管工作函,上市公司,2017/3/29
,,,,,
601633,长城汽车,监管工作函,公司2016年末存在非经营性资金占用.,上市公司,2017/3/29
,,,,,
600275,武昌鱼,监管工作函,"宜昌市长金股权投资合伙企业（有限合伙）增持计划到期,督促其尽快完成。",一般股东,2017/3/28
,,,,,
600433,冠豪高新,公开谴责,关于对冠豪高新股东林广茂公开谴责的决定书,一般股东,2017/3/28
,,,,,
600385,山东金泰,监管工作函,核实股东减持相关情况,一般股东,2017/3/27
,,,,,
600867,通化东宝,监管工作函,督促财务顾问及时出具意见,中介机构及其相关人员,2017/3/27
,,,,,
600666,奥瑞德,监管关注,关于对奥瑞德股份有限公司及相关负责人予以监管关注的通知,"上市公司,高级管理人员",2017/3/24
,,,,,
600806,*ST昆机,监管工作函,要求公司按期披露2016年年度报告,上市公司,2017/3/24
,,,,,
603993,洛阳钼业,通报批评,关于对洛阳栾川钼业集团股份有限公司时任副总经理王斌予以通报批评的决定,高级管理人员,2017/3/20
,,,,,
600375,华菱星马,监管工作函,要求公司加强停复牌管理并及时履行信息披露义务,上市公司,2017/3/20
,,,,,
600722,金牛化工,监管工作函,承诺履行,控股股东及实际控制人,2017/3/20
,,,,,
600192,长城电工,通报批评,关于对兰州长城电工股份有限公司股东甘肃长城电工集团有限责任公司予以通报批评的决定,控股股东及实际控制人,2017/3/17
,,,,,
603703,盛洋科技,监管关注,关于对浙江盛洋科技股份有限公司和相关责任人予以监管关注的决定,上市公司、高级管理人员,2017/3/17
,,,,,
603703,盛洋科技,通报批评,关于对浙江盛洋科技股份有限公司控股股东绍兴市盛洋电器有限公司、实际控制人叶利明予以通报批评的决定,控股股东及实际控制人,2017/3/17
,,,,,
600829,人民同泰,监管工作函,对公司非经营性资金占用事项提出监管要求,上市公司,2017/3/16
,,,,,
600747,大连控股,监管工作函,对公司诉讼及担保相关事项提出监管要求,上市公司,2017/3/16
,,,,,
603628,清源股份,监管工作函,对公司股价异常相关事项提出监管要求,上市公司,2017/3/16
,,,,,
601558,华锐风电,监管工作函,要求公司核实并披露媒体报道相关事项,上市公司,2017/3/16
,,,,,
603126,中材节能,监管工作函,对公司非经营性资金占用事项提出监管要求,上市公司,2017/3/16
,,,,,
603009,北特科技,监管关注,关于对上海北特科技股份有限公司董事会秘书徐鸿飞予以监管关注的决定,高级管理人员,2017/3/16
,,,,,
600543,莫高股份,监管关注,关于对甘肃莫高实业发展股份有限公司股东金陵投资控股有限公司及其一致行动人西藏华富信息科技有限公司予以监管关注的决定,一般股东,2017/3/15
,,,,,
601766,中国中车,监管工作函,要求公司核实并披露媒体报道相关事项,上市公司,2017/3/15
,,,,,
600727,鲁北化工,监管工作函,对公司非经营性资金占用事项提出监管要求,上市公司,2017/3/15
,,,,,
601989,中国重工,监管工作函,要求公司核实并披露媒体报道相关事项,上市公司,2017/3/15
,,,,,
600764,中电广通,监管关注,关于对中电广通股份有限公司董事长李晓春予以监管关注的决定,董事,2017/3/15
,,,,,
600764,中电广通,通报批评,关于对中电广通股份有限公司和有关责任人予以通报批评的决定,上市公司、高级管理人员,2017/3/15
,,,,,
600143,金发科技,监管工作函,公司因重大资产重组停牌已逾两个月，发监管工作函告知公司相关信息披露要求和停复牌规定。,上市公司,2017/3/15
,,,,,
